Invoice_ID,Branch,City,Customer type,Gender,Product_line, Unit_price ,Quantity,Tax_5, Total ,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,Selling_price_per_unit
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,573.87,05-01-2019,13:08,Ewallet,522.83,4.76,24.9,9.1,81.98164286
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,83.86,08-03-2019,10:29,Cash,76.4,4.76,3.64,9.6,16.772
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,355.97,03-03-2019,13:23,Credit card,324.31,4.76,15.44,7.4,50.85221429
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,511.23,27-01-2019,20:33,Ewallet,465.76,4.76,22.18,8.4,63.9035
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,663.15,08-02-2019,10:37,Ewallet,604.17,4.76,28.77,5.3,94.7355
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,656.08,25-03-2019,18:30,Ewallet,597.73,4.76,28.46,4.1,93.72521429
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,453.36,25-02-2019,14:36,Ewallet,413.04,4.76,19.67,5.8,75.56033333
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,807.41,24-02-2019,11:38,Ewallet,735.6,4.76,35.03,8,80.741
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,79.60,10-01-2019,17:15,Credit card,72.52,4.76,3.45,7.2,39.798
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,180.58,20-02-2019,13:27,Credit card,164.52,4.76,7.83,5.9,60.192
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,63.58,06-02-2019,18:07,Ewallet,57.92,4.76,2.76,4.5,15.894
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,112.00,09-03-2019,17:03,Cash,102.04,4.76,4.86,6.8,28.0005
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,257.67,12-02-2019,10:25,Ewallet,234.75,4.76,11.18,7.1,51.5335
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,474.07,07-02-2019,16:48,Ewallet,431.9,4.76,20.57,8.2,47.4065
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,783.48,29-03-2019,19:21,Cash,713.8,4.76,33.99,5.7,78.348
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,617.22,15-01-2019,16:19,Cash,562.32,4.76,26.78,4.5,102.8693333
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,529.62,11-03-2019,11:03,Credit card,482.51,4.76,22.98,4.6,75.65935714
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,478.19,01-01-2019,10:39,Credit card,435.66,4.76,20.75,6.9,79.69883333
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,180.02,21-01-2019,18:00,Credit card,164.01,4.76,7.81,8.6,60.00683333
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,88.47,11-03-2019,15:30,Ewallet,80.6,4.76,3.84,4.4,44.235
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,472.20,25-02-2019,11:24,Ewallet,430.2,4.76,20.49,4.8,94.44
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,289.71,05-03-2019,10:40,Ewallet,263.94,4.76,12.57,5.1,96.569
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,72.88,15-03-2019,12:20,Credit card,66.4,4.76,3.16,4.4,36.44
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,189.67,17-02-2019,11:15,Ewallet,172.8,4.76,8.23,9.9,37.934
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,291.84,02-03-2019,17:36,Ewallet,265.89,4.76,12.66,6,97.2815
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,461.79,22-03-2019,19:20,Credit card,420.72,4.76,20.03,8.5,57.72325
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,36.80,08-02-2019,15:31,Cash,33.52,4.76,1.6,6.7,36.796
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,192.46,10-03-2019,12:17,Credit card,175.34,4.76,8.35,7.7,96.2285
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,484.93,25-01-2019,19:48,Cash,441.8,4.76,21.04,9.6,96.986
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,245.88,15-03-2019,15:36,Cash,224.01,4.76,10.67,7.4,27.32005556
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,516.59,25-02-2019,19:39,Credit card,470.65,4.76,22.41,4.8,103.3185
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,771.22,28-01-2019,12:43,Cash,702.63,4.76,33.46,4.5,85.69127778
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,735.67,10-01-2019,14:49,Cash,670.24,4.76,31.92,5.1,91.959
